price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,sqft_living15,sqft_lot15
430000.0,3,1.5,1550,5034,2.0,0,0,4,7,0,1922,0,98177,47.7072,1820,7200
135000.0,2,1.0,750,5217,1.0,0,0,4,6,0,1943,0,98106,47.5188,760,4440
271310.0,2,1.0,870,5340,1.5,0,0,2,6,0,1906,0,98144,47.5849,1190,4440
569950.0,5,1.0,1420,6250,1.5,0,0,4,8,0,1926,0,98116,47.5807,1420,6250
725000.0,3,2.5,2810,6300,2.0,0,0,3,8,0,2001,0,98074,47.6077,2860,6630
515000.0,3,3.0,2100,2409,2.0,0,0,3,8,440,2008,0,98144,47.5973,1900,2400
320000.0,2,1.0,950,4000,1.0,0,0,3,6,0,1910,0,98144,47.5728,1480,4000
266000.0,4,2.25,1995,7102,2.0,0,0,4,8,0,1981,0,98023,47.2986,1880,7950
370000.0,3,1.0,800,2296,1.0,0,0,4,6,0,1908,0,98103,47.6546,1480,1472
482500.0,4,3.0,1630,7626,1.0,0,0,5,7,520,1990,0,98125,47.7168,1630,8082
745000.0,4,2.5,3170,5100,2.0,0,0,3,9,0,2012,0,98056,47.5187,1580,5100
445000.0,4,1.75,2100,4400,1.5,0,0,5,7,380,1924,0,98118,47.5299,1850,4400
1225000.0,5,4.5,3732,4426,2.5,0,0,3,10,800,2001,0,98112,47.6189,2950,4000
325000.0,3,1.0,1490,57381,1.5,0,0,4,5,0,1932,0,98092,47.2597,1580,101529
619000.0,3,2.5,2720,6439,2.0,0,0,3,9,0,2005,0,98065,47.5422,3180,7320
279000.0,4,2.0,1980,10051,1.0,0,0,3,7,0,1969,2003,98092,47.3231,1520,10125
152000.0,2,1.0,700,13500,1.0,0,0,3,4,0,1920,0,98031,47.3882,1600,10124
164950.0,3,1.75,1570,15330,1.0,0,0,3,7,490,1956,0,98166,47.4608,1250,13330
677500.0,5,1.0,2340,4730,2.0,0,0,3,8,530,1918,0,98116,47.5895,2100,4970
1185000.0,3,2.75,2500,5568,2.0,0,0,5,9,0,1905,0,98112,47.6258,2810,5568
520000.0,3,3.25,1540,1487,2.0,0,0,3,8,0,2011,0,98027,47.5397,1620,1104
265000.0,3,1.0,1400,9460,1.0,0,0,3,7,340,1961,0,98168,47.5119,1570,7700
530000.0,4,2.5,2050,6360,2.0,0,0,3,8,0,1988,0,98029,47.5641,2070,7541
476000.0,4,1.75,2340,17541,1.0,0,0,4,7,980,1956,0,98028,47.745,2250,9212
245000.0,3,2.25,1530,12000,1.0,0,0,3,7,460,1979,0,98023,47.2715,2140,13636
655000.0,5,3.25,3690,12353,2.0,0,0,5,9,0,1977,0,98155,47.7672,2290,9082
433000.0,3,2.75,2000,7200,1.0,0,0,3,7,1000,1954,2014,98166,47.4531,1440,7200
302000.0,4,1.75,1530,17664,1.5,0,0,3,7,0,1968,0,98058,47.4549,1530,11625
509900.0,3,1.75,1690,53578,1.0,0,0,3,8,0,1984,0,98053,47.6546,2290,52707
251000.0,3,1.5,1590,21600,1.5,0,0,4,7,0,1971,0,98022,47.2159,1780,21600
267500.0,3,2.5,1400,7629,1.0,0,0,3,7,280,1988,0,98030,47.3788,1530,7688
326989.0,3,2.5,2060,4200,2.0,0,0,3,8,0,2014,0,98038,47.3706,2370,4200
275000.0,3,2.5,2497,4400,2.0,0,0,3,8,0,2007,0,98001,47.2873,2434,4400
291000.0,2,1.0,840,863,3.0,0,0,3,8,0,2008,0,98103,47.6974,1110,1190
552500.0,3,2.5,2450,3582,2.0,0,0,3,9,0,2008,0,98072,47.7749,2490,5449
767500.0,4,2.0,2350,4815,1.5,0,0,4,7,900,1914,0,98103,47.6681,1640,4013
873000.0,3,2.25,2720,54450,2.0,0,0,3,11,0,1997,0,98027,47.5473,3170,60548
670000.0,3,1.0,1710,6195,1.0,0,0,3,7,300,1946,0,98105,47.6706,1610,6195
1289000.0,3,2.5,2190,11394,1.0,0,0,3,8,640,1956,0,98199,47.6685,2190,9540
300000.0,3,2.5,1320,2614,2.0,0,0,3,7,0,2005,0,98118,47.5355,1320,2533
585000.0,3,2.5,2290,5089,2.0,0,0,3,9,0,2001,0,98006,47.5443,2290,7984
355000.0,2,1.0,1250,4558,1.0,0,0,3,7,0,1948,0,98126,47.5318,1180,4494
395000.0,2,1.0,960,6700,1.0,0,0,3,7,0,1951,0,98103,47.6955,1350,6700
275000.0,2,1.0,900,57063,1.0,0,0,4,6,0,1938,0,98045,47.4735,1440,268765
352500.0,2,2.5,1570,2399,2.0,0,0,3,7,390,2009,0,98106,47.5488,1590,2306
552500.0,4,1.0,1560,7980,1.0,0,0,4,7,390,1939,0,98146,47.5093,1570,7980
885000.0,3,2.25,2940,6500,3.0,0,0,3,9,0,2014,0,98136,47.5482,1680,6500
830000.0,6,3.0,2530,9000,1.0,0,0,3,6,0,1978,0,98033,47.6716,1886,6000
315000.0,3,2.5,1950,9618,2.0,0,0,3,7,0,1992,0,98031,47.4068,1890,7133
515000.0,3,3.5,1360,1419,2.0,0,0,3,8,320,2007,0,98107,47.6697,1560,1977
915000.0,6,3.75,2930,14980,2.0,0,3,3,9,0,2013,0,98006,47.5441,3210,10787
1200000.0,4,3.5,3930,43560,2.0,0,0,3,10,0,2003,0,98072,47.7497,2860,36460
840000.0,4,2.25,2720,8712,2.0,0,0,4,9,0,1976,0,98006,47.5616,2470,8714
325000.0,3,1.5,1890,7650,1.0,0,0,5,7,0,1966,0,98003,47.3454,1510,7560
757000.0,3,3.25,3190,5283,2.0,0,0,3,9,0,2007,0,98029,47.5534,2950,5198
225800.0,4,1.0,1100,7110,1.0,0,0,4,7,220,1907,0,98030,47.3858,1150,7110
685000.0,4,2.5,2650,25248,1.0,0,2,3,9,320,1954,0,98177,47.7537,3020,23135
420000.0,2,1.0,930,5368,1.0,0,0,4,7,0,1953,0,98115,47.6952,1770,6000
435000.0,3,1.75,1500,8173,1.0,0,0,3,7,0,1997,0,98034,47.7293,1970,8173
296500.0,3,1.0,1280,5100,1.0,0,0,3,7,0,1948,0,98126,47.5259,1380,7140
846450.0,4,2.5,3710,7491,2.0,0,0,3,9,0,2003,0,98029,47.5596,3040,7491
880000.0,4,2.5,3070,8250,1.0,0,0,5,8,970,1958,0,98005,47.5935,2270,8800
745000.0,4,2.5,3130,10860,2.0,0,0,3,10,0,1990,0,98075,47.56,3130,10860
335000.0,4,1.5,3160,19745,1.5,0,0,4,6,1320,1968,0,98010,47.3103,1540,8611
329950.0,3,2.5,2456,7566,2.0,0,0,3,8,0,2012,0,98023,47.297,2478,7212
345000.0,3,2.5,1870,3584,2.0,0,0,3,8,0,2003,0,98058,47.4521,1900,3920
190000.0,3,1.0,1200,10458,1.0,0,0,4,6,0,1961,0,98023,47.3262,1160,9000
625000.0,3,1.5,1230,3060,1.0,0,0,3,7,320,1927,0,98103,47.667,1260,4488
243000.0,3,1.75,1790,12000,1.0,0,0,3,7,750,1960,0,98198,47.3945,1840,12000
299000.0,3,1.75,1910,17003,1.5,0,0,4,8,0,1963,0,98001,47.3095,1820,14806
1112500.0,6,4.0,3600,6224,2.0,0,0,3,9,990,1945,2006,98199,47.6531,1430,6224
376000.0,3,2.0,1540,1827,2.0,0,0,3,8,0,2005,0,98029,47.5479,1560,2058
352800.0,4,2.25,1800,2752,2.0,0,0,3,8,0,2014,0,98106,47.5167,1650,2752
1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,588,1953,0,98070,47.4041,2680,72513
540000.0,3,2.5,1720,11656,2.0,0,0,3,8,0,1987,1999,98052,47.6791,1890,10336
410000.0,4,2.0,1490,13736,1.0,0,0,4,6,0,1942,0,98125,47.712,2040,7200
430000.0,3,2.0,2350,12480,1.0,0,0,3,7,750,1981,0,98028,47.7661,2160,12000
913000.0,3,1.75,2170,4000,1.0,0,0,4,7,1060,1925,0,98103,47.6546,1890,4000
305495.0,3,1.75,2110,10200,2.0,0,0,4,7,0,1966,0,98059,47.4744,1800,10200
1150000.0,4,2.5,3340,10422,2.0,0,0,3,10,0,1996,0,98033,47.6515,1770,9490
390000.0,3,2.25,2270,32112,1.0,0,0,4,8,530,1980,0,98042,47.3451,2310,41606
495500.0,3,2.5,3190,7828,2.0,0,0,3,9,0,2006,0,98059,47.5047,2970,7828
415000.0,4,2.25,2520,8000,1.0,0,2,3,8,840,1970,0,98023,47.3202,2300,8000
330000.0,2,1.0,950,3090,1.0,0,0,4,6,0,1909,0,98118,47.551,1230,4120
682000.0,4,2.5,3600,203425,2.0,0,0,3,9,200,1979,0,98077,47.7597,3150,202989
480000.0,3,2.25,1950,8892,2.0,0,0,3,8,0,1983,0,98052,47.7213,1900,8750
434000.0,3,2.75,1830,3200,2.0,0,0,3,8,0,1991,0,98034,47.7155,2030,3331
347000.0,3,1.0,1270,8400,1.0,0,0,3,7,0,1955,0,98011,47.7604,1390,8400
664950.0,2,1.75,1180,900,2.0,0,0,3,10,400,2014,0,98102,47.6395,1380,3610
399950.0,4,2.75,3210,41689,1.0,0,0,4,8,1600,1989,0,98042,47.3493,2100,41384
457000.0,4,1.75,2100,10358,1.0,0,0,5,8,820,1959,0,98133,47.7478,2080,9000
525000.0,5,3.25,2480,10277,2.0,0,0,5,8,840,1993,0,98155,47.7726,2270,10277
735000.0,4,2.25,2270,5102,1.0,0,0,5,8,930,1954,0,98199,47.6528,1800,5102
155000.0,3,1.5,970,8400,1.0,0,0,3,7,0,1966,0,98003,47.3284,1230,8400
205000.0,2,1.5,830,1020,2.0,0,0,3,7,0,2006,0,98106,47.5604,830,1379
937500.0,5,3.75,4210,14599,2.0,0,3,3,10,0,2004,0,98065,47.5364,3950,13591
671500.0,4,2.25,2130,8410,2.0,0,0,4,8,0,1977,0,98006,47.5589,2170,8400
565000.0,4,2.0,2040,8281,2.0,0,1,3,7,0,1961,0,98033,47.6689,2560,8281
273000.0,3,2.25,2160,7964,2.0,0,0,3,8,0,1991,0,98042,47.3622,2000,7964
228900.0,4,1.5,1570,8775,1.0,0,0,3,7,0,1943,0,98166,47.4789,980,8775
188000.0,3,1.75,1660,7350,1.0,0,0,2,8,0,1979,0,98023,47.3118,1840,7673
290000.0,3,1.0,960,4560,1.0,0,0,4,7,0,1968,0,98106,47.5539,970,4800
345000.0,4,2.5,2040,5523,2.0,0,0,3,7,0,1999,0,98148,47.432,1720,6646
350000.0,3,2.25,1860,8378,2.0,0,0,3,7,0,1995,0,98038,47.3875,1870,8378
325000.0,3,1.0,1050,9083,1.0,0,0,3,7,0,1951,0,98155,47.7533,1440,9071
939000.0,3,3.5,2450,9248,2.0,0,4,3,8,490,1933,1993,98136,47.5476,2620,10207
706000.0,4,2.5,2510,5436,2.0,0,0,3,8,0,2011,0,98053,47.6894,2520,5436
335000.0,4,2.5,1980,4745,2.0,0,0,3,7,0,2004,0,98038,47.3495,1980,4878
2574000.0,4,3.75,4475,20424,2.0,1,4,3,12,1816,1999,0,98033,47.6646,4340,5250
779380.0,5,2.5,2590,7084,2.0,0,0,3,8,0,2014,0,98052,47.7053,3010,4823
667000.0,3,2.5,2510,3819,2.0,0,0,3,8,0,2007,0,98052,47.6987,2520,3990
550000.0,3,2.5,2250,7752,2.0,0,0,4,8,0,1988,0,98011,47.7489,2080,7033
319000.0,3,1.0,1390,12823,1.0,0,0,4,7,0,1968,0,98077,47.7438,1390,10095
359000.0,5,1.75,1940,6654,1.5,0,0,4,7,0,1953,0,98166,47.4663,2300,9500
285900.0,5,1.5,1690,7725,1.5,0,0,4,7,0,1961,0,98032,47.3859,1690,7739
575000.0,4,1.75,2330,8800,1.0,0,2,4,7,1070,1961,0,98008,47.6148,2270,8800
447500.0,4,2.5,2425,9017,2.0,0,0,3,9,0,2013,0,98001,47.3003,2725,7019
1810000.0,5,2.5,4250,20441,1.0,0,1,4,11,1760,1984,0,98004,47.6377,3620,16304
450000.0,2,3.0,1790,1709,2.0,0,0,3,7,390,2001,0,98144,47.5926,1460,1462
749000.0,4,2.5,2930,18199,2.0,0,0,3,9,0,1998,0,98075,47.5937,2930,33976
781500.0,4,2.5,3440,6332,2.0,0,0,3,10,0,2001,0,98059,47.5347,3310,6528
385000.0,3,2.0,1590,9912,2.0,0,0,3,8,0,2000,0,98070,47.3731,1670,9912
972800.0,5,3.25,3500,10457,2.0,0,0,3,11,0,2001,0,98059,47.5198,3500,11734
140000.0,1,1.0,730,6890,1.0,0,0,4,4,0,1926,0,98055,47.467,1790,7969
292000.0,3,1.75,1730,11325,1.0,0,0,5,7,0,1972,0,98031,47.3921,2030,17859
349950.0,2,3.25,1570,2031,2.0,0,0,3,8,260,2006,0,98126,47.548,1570,2039
482500.0,3,2.5,1690,3068,2.0,0,0,3,7,0,2005,0,98053,47.6763,1690,3260
730000.0,4,2.75,3800,9606,2.0,0,0,3,9,0,2008,0,98011,47.7368,3400,9677
410000.0,3,1.75,1340,9975,1.0,0,0,4,7,0,1961,0,98033,47.7012,1340,10050
404500.0,2,1.0,800,5080,1.0,0,0,3,7,0,1938,0,98115,47.6978,1560,5110
491234.0,4,2.5,1540,1860,2.0,0,0,3,8,0,2014,0,98029,47.5521,1210,1090
375000.0,4,2.0,1720,2410,1.0,0,0,3,7,750,1930,2006,98106,47.5252,1160,1404
382000.0,2,1.5,1070,877,3.0,0,0,3,8,0,2005,0,98107,47.6699,1320,1193
1379900.0,3,3.25,3786,38038,1.0,1,4,3,9,1852,1978,2006,98070,47.3907,2850,33361
754999.0,4,2.5,3010,9323,2.0,0,0,3,10,0,1992,0,98075,47.578,2840,8413
320000.0,3,2.5,1530,2890,2.0,0,0,3,7,0,2001,0,98108,47.5434,1540,2890
234000.0,3,1.0,1040,8122,1.0,0,0,5,7,0,1971,0,98198,47.3731,1470,8676
257500.0,3,1.0,1690,13825,1.0,0,0,3,7,480,1955,0,98148,47.4256,1190,9450
250000.0,3,1.75,1160,6134,1.0,0,0,3,7,0,1998,0,98002,47.3414,1330,6301
865000.0,2,1.0,1470,5400,1.5,0,0,3,8,0,1912,0,98119,47.6391,1760,3573
527500.0,3,2.5,1380,1389,3.0,0,0,3,8,0,2008,0,98102,47.6427,1380,1249
1025000.0,3,2.75,2780,4000,2.0,0,2,5,8,820,1904,0,98103,47.6565,1490,4800
1185000.0,3,2.25,2390,7875,1.0,0,1,3,10,410,1948,0,98105,47.6515,3720,9075
650000.0,4,1.75,2390,12000,1.0,0,0,3,8,920,1979,0,98052,47.7061,2110,12000
595000.0,3,2.75,3290,22649,2.0,0,0,4,8,0,1993,0,98056,47.5241,2750,6119
489000.0,2,1.0,850,2850,1.0,0,0,4,7,0,1927,0,98115,47.6875,1450,4015
392800.0,2,1.0,740,4275,1.0,0,0,5,6,0,1924,0,98115,47.688,1900,4275
689000.0,4,2.5,2440,11700,1.0,0,0,5,8,960,1961,0,98006,47.5606,2140,10807
1475000.0,3,2.5,2570,5000,2.0,0,0,3,11,0,1984,0,98102,47.6295,1570,5000
180000.0,3,1.0,1010,10215,1.0,0,0,3,6,0,1955,0,98146,47.4872,1320,10245
1565000.0,5,4.5,5220,67319,2.0,0,0,3,11,0,2001,0,98072,47.7666,4190,40609
700000.0,2,1.0,930,5000,1.0,0,3,3,7,0,1926,2013,98136,47.5333,1760,5228
343000.0,3,1.75,2210,7920,1.0,0,0,3,7,810,1966,0,98178,47.4968,2220,7920
287600.0,3,2.5,1950,8251,2.0,0,0,3,7,0,1990,0,98001,47.343,1540,8588
610000.0,4,2.5,2980,5896,2.0,0,0,3,8,0,2001,0,98053,47.6872,2900,5712
537000.0,4,1.75,2230,7957,1.0,0,0,4,7,0,1967,0,98008,47.5859,2230,8040
324000.0,3,1.0,1160,7202,1.0,0,0,4,7,0,1957,0,98133,47.7675,1620,8598
305000.0,3,2.0,1680,8487,1.0,0,0,3,7,0,1993,0,98022,47.1959,2080,8560
356000.0,3,1.5,1680,8712,1.0,0,0,3,8,0,1964,0,98059,47.4811,1850,8797
255000.0,2,1.0,1200,9000,1.0,0,2,5,6,0,1917,0,98198,47.4039,1660,9000
700000.0,4,2.5,3100,36562,2.0,0,0,3,10,0,1994,0,98077,47.7646,3080,39351
1150000.0,2,2.25,2320,9300,1.5,0,4,5,9,400,1937,0,98115,47.681,2790,9300
623000.0,3,1.75,2050,16313,1.0,0,0,2,8,0,1973,0,98040,47.5743,3180,10264
185000.0,2,1.0,900,8000,1.0,0,0,4,6,0,1954,0,98198,47.4217,1240,8000
1568000.0,3,2.75,2340,8828,1.0,0,0,4,9,0,1954,0,98112,47.632,3480,8526
490000.0,3,1.75,2020,215622,2.0,0,0,4,7,0,1975,0,98070,47.4189,1810,215622
458000.0,3,1.5,1570,12196,1.0,0,0,4,7,0,1972,0,98045,47.4866,1740,12196
1555000.0,5,2.5,2870,16238,2.0,0,0,4,8,0,1962,0,98039,47.6308,2870,16238
330000.0,3,2.5,1870,4657,2.0,0,0,3,8,0,2000,0,98055,47.4615,2290,4795
615000.0,3,2.5,1980,3128,2.0,0,0,3,8,90,2009,0,98027,47.5456,2160,2240
579500.0,3,1.75,1250,4120,1.0,0,0,4,7,270,1925,0,98117,47.685,1250,4120
399950.0,3,3.0,1860,2875,2.0,0,0,3,8,150,2009,0,98126,47.5511,1350,4830
439990.0,3,2.5,2340,5171,2.0,0,0,3,8,0,2013,0,98045,47.4832,2790,5684
198000.0,4,1.75,2080,7200,1.0,0,0,4,7,1030,1966,0,98001,47.3385,1500,7350
410000.0,3,1.0,1190,5280,1.0,0,0,4,7,0,1957,0,98146,47.5131,1280,5280
424950.0,3,1.75,2090,7505,1.0,0,0,3,7,0,1967,0,98034,47.7326,1510,7416
680000.0,3,2.5,2120,3600,2.0,0,0,3,9,0,2005,0,98052,47.6649,2540,4592
